Text,Speaker,Episode,Season,Show
Originally written by Marta Kauffman and David Crane.,,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
Transcribed by guineapig.,,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 CENTRAL PERK. (ALL PRESENT EXCEPT RACHEL AND ROSS),SCENE 1,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 There's nothing to tell! He's just some guy I work with!,MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" C'mon, you're going out with the guy! There's gotta be something wrong with him!",JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 So does he have a hump? A hump and a hairpiece?,CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Wait, does he eat chalk?",PHOEBE,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
"(THE OTHERS STARE, BEMUSED)",,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Just, 'cause, I don't want her to go through what I went through with Carl- oh!",PHOEBE,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having s*x.",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Sounds like a date to me.,CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(CUT TO SAME SET),,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realise I am totally naked.",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Oh, yeah. Had that dream.",ALL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Then I look down, and I realise there's a phone... there.",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Instead of...?,JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 That's right.,CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Never had that dream.,JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 No.,PHOEBE,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" All of a sudden, the phone starts to ring. And it turns out it's my mother, which is very weird, because- she never calls me!",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(CUT TO SAME SET. ROSS HAS NOW ENTERED),,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 (MORTIFIED) Hi.,ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" This guy says hello, I wanna kill myself.",JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Are you okay, sweetie?",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
